Country,Date,Cases,Deaths
Sierra Leone,27/3/2015,11889,3773
Spain,7/4/2015,1,0
Mali,7/4/2015,8,6
Senegal,7/4/2015,1,0
Nigeria,7/4/2015,20,8
Guinea,7/4/2015,3515,2333
United Kingdom,7/4/2015,1,0
Liberia,7/4/2015,9862,4408
United States of America,7/4/2015,4,1
Sierra Leone,7/4/2015,12139,3832
Liberia,9/4/2015,9862,4408
United Kingdom,9/4/2015,1,0
United States of America,9/4/2015,4,1
Mali,9/4/2015,8,6
Senegal,9/4/2015,1,0
Spain,9/4/2015,1,0
Nigeria,9/4/2015,20,8
Guinea,9/4/2015,3515,2335
Sierra Leone,9/4/2015,12155,3841
Sierra Leone,13/4/2015,12188,3854
Senegal,13/4/2015,1,0
Liberia,13/4/2015,9862,4408
Mali,13/4/2015,8,6
United States of America,13/4/2015,4,1
Nigeria,13/4/2015,20,8
Spain,13/4/2015,1,0
United Kingdom,13/4/2015,1,0
Guinea,13/4/2015,3541,2342
Sierra Leone,14/4/2015,12201,3857
United Kingdom,14/4/2015,1,0
United States of America,14/4/2015,4,1
Nigeria,14/4/2015,20,8
Mali,14/4/2015,8,6
Guinea,14/4/2015,3548,2346
Liberia,14/4/2015,9862,4408
Senegal,14/4/2015,1,0
Spain,14/4/2015,1,0
Mali,15/4/2015,8,6
Sierra Leone,15/4/2015,12201,3857
Liberia,15/4/2015,10042,4486
Senegal,15/4/2015,1,0
Guinea,15/4/2015,3548,2346
United States of America,15/4/2015,4,1
Spain,15/4/2015,1,0
Nigeria,15/4/2015,20,8
United Kingdom,15/4/2015,1,0
Spain,16/4/2015,1,0
United States of America,16/4/2015,4,1
Mali,16/4/2015,8,6
Sierra Leone,16/4/2015,12223,3865
Nigeria,16/4/2015,20,8
United Kingdom,16/4/2015,1,0
Senegal,16/4/2015,1,0
Liberia,16/4/2015,10042,4486
Guinea,16/4/2015,3566,2348
Guinea,17/4/2015,3569,2351
Nigeria,17/4/2015,20,8
United States of America,17/4/2015,4,1
United Kingdom,17/4/2015,1,0
Senegal,17/4/2015,1,0
